decimalLongitude;decimalLatitude;datasetName;phylum;order;family;genus;scientificName;yearcollected;depth
8.333333333;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;14
7;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;35
7.916666667;53.91666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24
7.916666667;53.91666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24
8;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;32
7.25;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;29
7.166666667;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.25;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.25;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.5;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
7.666666667;54.13333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
7.666666667;54.13333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
6.798333333;54.58333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
6.798333333;54.58333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.083333333;54.33333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;40
7.083333333;54.33333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;40
7.5;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
4;55;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;48
5.666666667;55.41666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;51
6;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;40
7.94;54.13333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
8;54.75;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;16
6;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;40
7.833333333;54.15;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;54
4;55.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;44
6.083333333;55.08333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;43
5.333333333;55.08333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
5.333333333;55.08333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
6;54.75;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
7.916666667;53.91666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24
7.916666667;53.91666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24
5.333333333;55.08333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;41
8.333333333;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;14
8.25;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;26
8.25;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;26
7.561666667;53.8;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;17
7.5;53.83333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;20
8.216666667;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;12
8.216666667;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;12
8;54.05;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;30
8;54.05;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;30
8.216666667;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;12
8.216666667;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;12
8.25;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;26
8.25;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;26
7.75;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;20
3;54.61666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;37
3;54.61666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;37
4.416666667;55.30833333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;46
6.833333333;54.7;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
6.833333333;54.7;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
7.5;54.16666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.5;54.16666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
6.5;55;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;46
7.833333333;54.58333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;22
8.083333333;54.05;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24
7.75;54.15333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
7.75;54.15333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
6;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;34
7.666666667;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;36
8;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;32
8;54.05;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;30
8;54.05;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;30
7.666666667;54;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;36
7.75;54.15333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
7.75;54.15333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;39
6.896666667;54.67666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;40
8.133333333;54.58333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;14
7;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;35
7.833333333;54.58333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;22
7.75;54.28333333;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;27
7.25;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
7.25;54.25;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;38
6.833333333;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;36
6.833333333;54.5;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;36
7.816666667;54.01666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;37
7.816666667;54.01666667;Macrozoobenthos data from the southeastern North Sea in 2000;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;37
3.873333;53.858611;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.366667;54.823333;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
5.983333;53.858333;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.533333;54.65;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.630556;53.755556;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.5;54.75;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.5;53.701389;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
2.864167;54.094444;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.9;53.744444;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.496111;53.511111;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.666667;52.833333;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.316667;54.333333;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.151667;53.845;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.305833;53.525;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
5.177778;53.925;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.276944;53.627778;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3;53.511111;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3;54.511111;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.7675;53.767778;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.233333;54.911667;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
6.184167;53.535833;Zoological Museum Amsterdam, University of Amsterdam (NL) - Benthos monitoring of the North Sea_ research database;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.66130865422;51.442214299;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.79884197247;51.6239915979;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.87103533787;51.6249499131;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.86650811584;51.7597546733;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.94893545852;51.4461164197;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.93892027678;51.7606720015;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.01679148086;51.5817952499;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.01543223044;51.626732912;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.09148993373;51.4927408491;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.09020803375;51.5376799424;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.08763543044;51.6275575873;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.08634470729;51.6724961113;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.08634470729;51.6724961113;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.16348210905;51.4935179519;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.16227137151;51.5384580491;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
4.15862251012;51.6732772417;Biogeography Scheldt Estuary;Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;NA
3.913661560000001;51.75369472;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;7.6999998
3.9962093000000007;51.61157105;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.4000001
4.11022191;51.6560187;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;20.1
4.138624550000002;51.48606537999995;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;11
4.018013009999999;51.60109965;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;36.299999
4.0522756399999995;51.85752782999999;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;4.8499999
4.03414686;51.87274491;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.3
3.8972347299999996;51.61934070999998;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;24.299999
4.123034410000002;51.52167647000003;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;10.7
4.0115624999999975;51.60719945999996;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;4.5
4.128371899999999;51.66551397;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;10.4
3.990723869999998;51.872732979999995;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3
3.9570220199999975;51.90969812000002;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;7.8499999
3.88568986;51.62432653999998;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;30.299999
3.798454589999999;51.62342525999998;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;7.9000001
3.82856886;51.627175559999976;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.8
3.84823313;51.63516018;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;16.799999
4.075366470000002;51.515621830000036;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;6.3000002
4.122973369999998;51.52175658000003;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;9.8999996
4.01631812;51.606962990000014;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;5.1999998
4.111177349999999;51.66159597;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;10.5
4.0180130100000016;51.60109201999996;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;35
3.77273126;51.63962265999999;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;13.7
4.10009821;51.498581340000015;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.0999999
4.11014943;51.656064480000005;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;22.1
4.14579304;51.5183235;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;6
4.0819829500000004;51.62384808000001;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;7.8000002
4.112565840000001;51.66466690000001;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;8.1000004
4.134636009999999;51.657449529999994;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;6.8000002
4.00520143;51.60458624000003;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;6.1999998
4.00762899;51.60691329999998;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.4000001
3.996264850000001;51.61169695;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.2
4.02210462;51.60851186;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.9000001
4.1523224;51.67088931;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;7.6999998
4.01263504;51.60368984;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;14.9
4.141963490000001;51.484554759999995;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;6.0999999
4.077608429999999;51.521878139999984;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;43.099998
3.8278829599999984;51.62572592000001;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;3.9000001
3.8972373599999988;51.61924915999999;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;26.200001
3.8858176500000012;51.62437994000002;BIS dataset of the south-western part of Netherlands (1985-2004);Mollusca;Cardiida;Semelidae;Abra;Abra alba;2000;28.5
