gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3961300450	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140618508	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.913484	3.220689	977.0						2022-10-24T11:25:00	24	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	140618508		luismartinezartola	2022-10-31T04:48:10	CC_BY_NC_4_0	luismartinezartola	luismartinezartola			2022-11-04T16:03:10.310Z	StillImage	COORDINATE_ROUNDED
3961209049	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140272376	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.047538	3.225421	100.0						2022-10-27T11:42:00	27	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	140272376		Jean-Paul Cassez	2022-10-28T16:37:07	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T16:03:08.399Z	StillImage	
3961055610	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140815192	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.186062	5.390424	140.0						2022-10-29T10:28:00	29	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	140815192		Pascal GIRARD	2022-11-01T21:08:33	CC_BY_NC_4_0	Pascal GIRARD	Pascal GIRARD			2022-11-04T15:59:37.019Z		COORDINATE_ROUNDED
3947361551	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139770372	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.047538	3.225421	100.0						2022-10-19T11:47:00	19	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	139770372		Jean-Paul Cassez	2022-10-23T17:28:42	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T15:59:33.593Z	StillImage	
3947280791	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139138216	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.042287	3.227267	100.0						2022-10-14T11:38:00	14	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	139138216		Jean-Paul Cassez	2022-10-17T17:48:50	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T16:03:16.535Z	StillImage	
3947210790	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139143655	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.050274	3.224591	100.0						2022-10-16T12:52:00	16	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	139143655		Jean-Paul Cassez	2022-10-17T18:40:06	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T16:03:20.903Z	StillImage	
3925313112	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/137841595	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.049107	3.226309							2022-10-05T09:36:00	5	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	137841595		Jean-Paul Cassez	2022-10-07T09:25:40	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T15:59:11.583Z	StillImage	
3925215396	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138135628	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.172797	5.393494	46.0						2022-10-08T10:20:00	8	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	138135628		poulpette	2022-10-09T16:35:46	CC_BY_NC_4_0	poulpette	poulpette			2022-11-04T16:03:22.734Z	StillImage	COORDINATE_ROUNDED
3923697670	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/137551528	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.041491	3.229073	100.0						2022-10-03T11:34:00	3	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	137551528		joe_fish	2022-10-05T02:34:16	CC_BY_NC_4_0	Jean-Paul Cassez	Jean-Paul Cassez			2022-11-04T15:59:22.630Z	StillImage	
3923658196	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/137175913	Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Paramuricea	Paramuricea clavata		SPECIES	Paramuricea clavata (Risso, 1826)	Paramuricea clavata		IT		Liguria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.304078	9.20087	1.0						2022-10-01T10:15:24	1	10	2022	2261251	2261251	HUMAN_OBSERVATION	iNaturalist	Observations	137175913		angelscuba	2022-10-01T18:09:05	CC_BY_NC_4_0	angelscuba	angelscuba			2022-11-04T16:03:52.280Z	StillImage	COORDINATE_ROUNDED
