"";"Species";"Location";"Year";"Lon";"Lat";"Depth";"Main.reference"
"1";"Paramuricea clavata";"Strait of Messina";1993;15.73111;38.25815;"45";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"4";"Paramuricea clavata";"Tino Island";1999;9.84906;44.01409;"27";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"6";"Paramuricea clavata";"Mesco Point";1999;9.64609;44.11277;"40";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"9";"Paramuricea clavata";"La Ciotat";1999;5.62888;43.16327;"45";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"12";"Paramuricea clavata";"Balearic Islans";2003;2.66724;39.47644;"40";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"13";"Paramuricea clavata";"Provence coast";2003;5.32953;43.27825;"25";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"15";"Paramuricea clavata";"Gulf of Naples";2003;14.28138;40.82543;"32";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"16";"Paramuricea clavata";"From La spezia to Genoa";2006;9.51805;44.18663;"50";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"17";"Paramuricea clavata";"Ile Riou";2006;5.38124;43.20515;"20";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"18";"Paramuricea clavata";"Cabo de Palos-Cabrera Island";2007;2.99045;39.16413;"45";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"19";"Paramuricea clavata";"Tavolara Island - Punta Coda Cavallo (SITE 1)";2008;9.72349;40.8846;"30";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"20";"Paramuricea clavata";"Tavolara Island - Punta Coda Cavallo (SITE 2)";2008;9.70974;40.92408;"35";"Rivetti; Irene et al. Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. PLoS ONE 9.12 (2014)"
"22";"Paramuricea clavata";"Medes";2002;3.227;42.05;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"23";"Paramuricea clavata";"Medes";2003;3.227;42.05;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"24";"Paramuricea clavata";"Riou";1999;5.40353;43.16829;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"29";"Paramuricea clavata";"Tinetto Island; La Spezia; Ligurian Sea; Italy ";2003;0.66;39.86;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"30";"Paramuricea clavata";"Tinetto Island; La Spezia; Ligurian Sea; Italy";1998;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"31";"Paramuricea clavata";"Tinetto Island; La Spezia; Ligurian Sea; Italy";2004;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"32";"Paramuricea clavata";"Tinetto Island; La Spezia; Ligurian Sea; Italy";2005;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"33";"Paramuricea clavata";"Tinetto Shoal La Spezia; Ligurian Sea; Italy";2006;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"34";"Paramuricea clavata";"Tinetto Shoal La Spezia; Ligurian Sea; Italy";1998;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"35";"Paramuricea clavata";"Tinetto Shoal La Spezia; Ligurian Sea; Italy";2004;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"36";"Paramuricea clavata";"Tinetto Shoal La Spezia; Ligurian Sea; Italy";2005;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"37";"Paramuricea clavata";"Tino Island; La Spezia; Ligurian Sea; Italy";2006;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"38";"Paramuricea clavata";"Tino Island; La Spezia; Ligurian Sea; Italy";1998;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"39";"Paramuricea clavata";"Tino Island; La Spezia; Ligurian Sea; Italy";2004;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"40";"Paramuricea clavata";"Tino Island; La Spezia; Ligurian Sea; Italy";2005;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"41";"Paramuricea clavata";"Bouches-du-RhÙne; France";2006;9.83;44;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"42";"Paramuricea clavata";"Var; France";1999;5.15;43.31;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"43";"Paramuricea clavata";"Ilot de GabiniËre; Port-Cros; France";1999;6.67;43.3;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"45";"Paramuricea clavata";"Port-Cros";2003;6.35934;43.02084;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"46";"Paramuricea clavata";"Shoal Ligurian Sea; Italy";1999;9.84995;44.01474;"";"Marba; Nuria et al. Evidences of Impacts of Climate Change on Mediterranean Biota. Frontiers in Marine Science 3.3 (2016)"
"47";"Paramuricea clavata";"Berlengas; Portugal";NA;-9.54201;39.47255;"15";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"52";"Paramuricea clavata";"Sines; Portugal";NA;-8.926;37.898;"50";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"53";"Paramuricea clavata";"Sagres; Portugal";NA;-8.919;36.972;"59";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"54";"Paramuricea clavata";"Sagres; Portugal";NA;-8.92;36.971;"59";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"55";"Paramuricea clavata";"Sagres; Portugal";NA;-8.922;36.967;"60";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"56";"Paramuricea clavata";"Lagos; Portugal";NA;-8.704;37.004;"61";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"57";"Paramuricea clavata";"Portimao; Portugal";NA;-8.492;37.063;"37";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"58";"Paramuricea clavata";"Portimao; Portugal";NA;-8.505;36.999;"50";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"59";"Paramuricea clavata";"Portimao; Portugal";NA;-8.599;36.996;"60";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"60";"Paramuricea clavata";"Portimao; Portugal";NA;-8.5;36.992;"49";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"61";"Paramuricea clavata";"Portimao; Portugal";NA;-8.489;36.991;"48";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"62";"Paramuricea clavata";"Portimao; Portugal";NA;-8.528;36.988;"55";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"63";"Paramuricea clavata";"Tavira; Portugal";NA;-7.635;37.057;"30";"Boavida; J.; Assis; J.; Silva; I. et al. Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling. Sci Rep 6; 36460 (2016). "
"66";"Paramuricea clavata";"Marinasmir; Morocco";NA;-5.313;35.752;"40";"Mokhtar-Jamai; K.; Pascual; M.; Ledoux; J.B.; Coma; R.; Féral; J.P. & Garrabou J. (2011). From global to local genetic structuring in the red gorgonian Paramuricea clavata: the interplay between oceanographic conditions and limited larval dispersal. In Molecular Ecology; 20; (pp. 3291-3305)."
"67";"Paramuricea clavata";"Martyl; Morocco";NA;-5.248;35.642;"35";"Mokhtar-Jamai; K.; Pascual; M.; Ledoux; J.B.; Coma; R.; Féral; J.P. & Garrabou J. (2011). From global to local genetic structuring in the red gorgonian Paramuricea clavata: the interplay between oceanographic conditions and limited larval dispersal. In Molecular Ecology; 20; (pp. 3291-3305)."
"68";"Paramuricea clavata";"Farallones; Cap de Trois Fourches; Morocco";NA;-3.00261;35.43551;"20";"Espinosa; F.; Navarro-Barranco; C.; González; A. R.; Maestre; M.; Garcia-Gómez; J. C.; Benhoussa; A.; … Bazairi; H. (2014). A combined approach to assessing the conservation status of Cap des Trois Fourches as a potential MPA_: is there a shortage of MPAs in the Southern Mediterranean_? Mediterranean Marine Science; 15(3); 654-666."
"69";"Paramuricea clavata";"Habibas island; Algeria";NA;-1.12;35.62066;"";"Mokhtari; T. (2015); personal communication. Obervation recorded online at https://www.youtube.com/watch?v=cEeS0C_qM1k"
"72";"Paramuricea clavata";"Galite bank; station 638 Museum Oceanographic Monaco; Tunisia";NA;8.93177;37.55432;"28";"Carpine; C.; & Grasshoff; M. (1975). Les Gorgonaires de la Méditerranée (Vol. 71). Monaco: Bulletin de L'Institut océanographique; Fondation Albert I; Prince de Monaco."
"73";"Paramuricea clavata";"Monte Hacho; Ceuta; Spain";NA;-5.30853;35.9179;"26";"Mokhtar-Jamai; K.; Pascual; M.; Ledoux; J.B.; Coma; R.; Féral; J.P. & Garrabou J. (2011). From global to local genetic structuring in the red gorgonian Paramuricea clavata: the interplay between oceanographic conditions and limited larval dispersal. In Molecular Ecology; 20; (pp. 3291-3305)."
"74";"Paramuricea clavata";"Ciclon de Afuera; Bahia Norte; Ceuta; Spain";NA;-5.299;35.905;"";"Manuel; J. (2015); personal communication. Observation recorded online at https://www.youtube.com/watch?v=LWR_W7261Q8"
"75";"Paramuricea clavata";"Punta Almina; Bahia Sur; Ceuta; Spain";NA;-5.31502;35.89962;"36";"Manuel; J. (2015); personal communication."
"76";"Paramuricea clavata";"Ciclon de Afuera; Ceuta; Spain";NA;-5.302;35.904;"40";"Ocaña; O.; Ramos; A.; & Templado; J. (2009). Los paisajes sumergidos de la región de Ceuta y su biodiversidad. Fundación Museo del Mar de Ceuta. 254pp."
"78";"Paramuricea clavata";"Punta de la Mona; Granada; Spain";NA;-3.72636;36.71658;"35";"Ocaña; O.; Sánchez Tocino; L.; & López-González; P. J. (2000). Consideraciones faunistica y biogeográficas de los antozoos ( Cnidaria_: Anthozoa ) de la costa de Granada ( Mar de Alborán ) Faunistic and biogeographical observations concerning the Anthozoa ( Cnidaria_: Anthozoa ) of the Granada coast ( Sea of Alboran. Zoologia Baetica; 11; 51-65."
"83";"Paramuricea clavata";"Chafarinas Islands; Spain";NA;-2.43958;35.19801;"30";"Maldonado; M.; López-Acosta; M.; Sánchez-Tocino; L.; & Sitjà; C. (2013). The rare; giant gorgonian Ellisella paraplexauroides: demographics and conservation concerns. Marine Ecology Progress Series; 479; 127-141. doi:10.3354/meps10172"
"84";"Paramuricea clavata";"Cabo de Palos; Spain";NA;-0.64278;37.65069;"";"Branco; M. (2014). Description of the biodiversity of benthic communities of three seamounts in a deep environment of the Western Mediterranean Sea. B.Sc. Thesis; University of Algarve; Portugal. 74 pp. Available uppon request."
"85";"Paramuricea clavata";"Columbretes Archipelago; Spain";NA;0.667;39.917;"";"Agell; G.; Rius; M.; & Pascual; M. (2009). Isolation and characterization of eight polymorphic microsatellite loci for the Mediterranean gorgonian Paramuricea clavata. In Conservation genetics; 10(6); (pp. 2025-2027)."
"86";"Paramuricea clavata";"Bajo del Carallot; Columbretes Island; Spain";NA;0.67219;39.89043;"40";"Mokhtar-Jamai; K.; Pascual; M.; Ledoux; J.B.; Coma; R.; Féral; J.P. & Garrabou J. (2011). From global to local genetic structuring in the red gorgonian Paramuricea clavata: the interplay between oceanographic conditions and limited larval dispersal. In Molecular Ecology; 20; (pp. 3291-3305)."
