"Lon";"Lat"
"2";3.225834;42.047283
"5";8.70833333333333;41.7916666666667
"6";5.2867;43.27991
"22";5.39522;43.17863
"28";5.39871;43.1738
"29";5.33848;43.20783
"31";-5.420841;35.914216
"42";15.524118;42.138285
"43";14.422238;40.675089
"63";3.206271;41.887021
"65";3.189003;41.861094
"66";15.702965;38.258629
"67";14.324722;40.618611
"79";8.69218;41.80212
"81";8.69288;41.80213
"156";14.025231;40.750004
"157";3.221766;41.92015
"159";12.285905;37.914766
"160";12.270612;37.902804
"163";5.7748;43.0958
"191";5.22393;43.19712
"195";3.226548;42.043889
"196";-9.061526;38.438547
"197";14.413312;40.682119
"198";5.61211;43.16003
"199";6.24126;43.02875
"204";5.61596;43.15821
"212";6.24286;43.02557
"223";5.37186;43.17784
"224";5.33573;43.20895
"225";5.37087;43.17648
"228";3.199492;41.888372
"234";5.22963;43.19952
"237";5.229778;43.19854
"238";3.203639;41.88417
"242";5.62222;43.15722
"245";5.61967;43.15756
"253";5.62333;43.15528
"276";5.62278;43.155
"282";5.4012;43.17473
"283";3.1355;42.50902
"304";6.09832;43.02795
"306";6.40778;43.11167
"313";10.331514;43.471992
"314";6.09459;43.030007
"315";5.76788;43.08451
"320";6.36259;43.01827
"326";6.68458;43.31006
"329";3.16021;42.4611
"330";5.23112;43.19927
"331";5.62079;43.15911
"337";6.0964;43.03232
"343";5.23698;43.32926
"345";3.51475;43.27058
"361";5.39108;43.18707
"370";3.12814;42.50117
"376";10.548401;42.856096
"377";3.153861;42.478873
"378";3.154778;42.478691
"380";8.72671;42.58323
"382";5.40277;43.17583
"384";3.16149;42.47805
"386";5.59844;43.16426
"420";5.61967;43.15739
"423";3.15462;42.47844
"428";5.23967;43.331
"429";6.40925;43.01976
"437";8.76217;41.91817
"450";5.38217;43.19038
"451";8.60701;42.30628
"468";3.51056;43.24694
"486";15.712368;38.256422
"495";3.1567;42.47433
"496";5.22833;43.19861
"497";5.61549;43.16002
"524";3.13386;42.51332
"526";8.64861;42.47222
"533";10.332052;43.471571
"541";8.72699;42.58538
"542";5.2593;43.33861
"545";5.23876;43.33053
"548";5.23293;43.32941
"555";9.31413;41.48597
"560";5.68324;43.15469
"562";5.61369;43.16286
"563";15.708567;38.25635
"574";5.2302;43.32908
"582";5.50988;43.19743
"584";5.50118;43.19752
"587";5.50473;43.19765
