"Lon";"Lat"
"2";14.400609;40.677432
"4";5.646742;43.159046
"8";14.025661;40.751239
"9";15.525088;42.13941
"10";3.22;41.918889
"11";14.323779;40.618099
"12";5.371703;43.17748
"13";15.620422;38.303602
"14";5.368317;43.17782
"15";3.212249;42.061504
"16";5.393138;43.172752
"17";3.225585;42.047235
"18";15.495022;42.11241
"19";3.214724;42.061054
"20";3.219953;42.049591
"23";9.851452;44.022937
"24";6.878576;43.42379
"25";5.368179;43.17804
"26";3.226607;42.041228
"27";3.226618;42.040973
"28";5.402492;43.175748
"29";3.224591;42.050274
"30";5.370783;43.176765
"31";3.225834;42.047283
"32";5.2867;43.27991
"35";9.41917;41.74893
"40";5.33848;43.20783
"42";5.39522;43.17863
"43";5.39871;43.1738
"45";-5.420841;35.914216
"56";15.524118;42.138285
"57";14.422238;40.675089
"58";5.3987;43.1738
"59";5.335;43.209
"62";8.70833333333333;41.7916666666667
"73";3.206271;41.887021
"75";3.189003;41.861094
"76";15.702965;38.258629
"77";14.324722;40.618611
"79";5.3382;43.2076
"80";3.0312;39.9354
"83";3.0271;39.9348
"84";5.3914;43.1865
"93";8.69288;41.80213
"103";8.69218;41.80212
"117";3.081;39.905
"144";14.025231;40.750004
"145";3.221766;41.92015
"147";12.285905;37.914766
"148";12.270612;37.902804
"150";3.226548;42.043889
"151";5.3708;43.1765
"152";3.2026;41.8848
"153";3.176;39.9644
"154";3.1769;39.9629
"155";3.1769;39.9615
"156";3.1782;39.9629
"157";3.1785;39.9617
"158";3.1772;39.9617
"174";5.22393;43.19712
"184";14.413312;40.682119
"185";3.2242;42.0502
"186";3.0856;39.9491
"187";3.2239;42.0497
"188";3.2249;42.0506
"189";3.224;42.0497
"190";3.2264;42.0477
"191";3.2249;42.05
"192";3.0584;39.9244
"193";3.20833333333333;42.0416666666667
"194";5.3707;43.1765
"195";3.2197;42.0494
"196";6.24126;43.02875
"199";5.61596;43.15821
"206";6.24286;43.02557
"207";5.61211;43.16003
"216";5.33573;43.20895
"218";5.37087;43.17648
"219";5.37186;43.17784
"220";3.199492;41.888372
"228";5.229778;43.19854
"229";3.203639;41.88417
"231";5.62222;43.15722
"232";5.61967;43.15756
"234";5.62333;43.15528
"249";7.00578;43.5438
"265";6.09832;43.02795
"266";6.40778;43.11167
"270";7.07323;43.51826
"272";3.1355;42.50902
"277";7.07612;43.51593
"280";10.331514;43.471992
"281";6.09459;43.030007
"282";3.1896;41.861
"286";3.51475;43.27058
"304";5.23698;43.32926
"305";6.68458;43.31006
"308";5.23112;43.19927
"309";6.36259;43.01827
"312";3.12814;42.50117
"317";10.548401;42.856096
"318";3.153861;42.478873
"319";3.154778;42.478691
"321";3.2165;41.9212
"327";5.59844;43.16426
"331";3.15462;42.47844
"334";5.23967;43.331
"339";5.61967;43.15739
"351";3.224574;42.050262
"352";3.226891;42.041211
"353";3.226033;42.047331
"354";3.225689;42.042231
"357";6.40925;43.01976
"363";3.51056;43.24694
"378";8.76217;41.91817
"390";7.06155;43.52301
"393";15.712368;38.256422
"394";3.209926;41.915119
"410";3.13386;42.51332
"412";3.1567;42.47433
"414";5.61549;43.16002
"415";8.64861;42.47222
"427";5.22833;43.19861
"434";10.332052;43.471571
"439";9.31413;41.48597
"443";8.72671;42.58323
"452";5.23876;43.33053
"456";15.708567;38.25635
"461";5.61369;43.16286
"462";3.22632;42.04805
"463";16.3072;43.1685
"464";15.9972;42.9536
"466";3.200718;41.885661
"469";5.50118;43.19752
"470";5.50988;43.19743
"474";3.222342;42.04937
"477";6.15218;43.00216
"479";5.50473;43.19765
"480";3.80942;43.4186
"481";5.44786;43.20838
"484";5.30574;43.2855
"485";5.32518;43.21383
"508";8.7613;41.92056
"517";7.08278;43.54028
"521";5.389197;43.184948
"522";5.231173;43.197554
"523";5.370349;43.176709
"524";3.2277;42.0412
"525";1.1651;38.9693
"526";3.2028;41.885
"535";5.22963;43.19952
"537";5.2302;43.32908
"547";5.36187;43.19673
"550";5.39375;43.16937
"551";5.23717;43.33
"552";29.114589;40.836428
"564";9.38722;41.55639
"577";3.20447;42.074564
"578";3.211164;42.063384
"579";3.229073;42.041491
"580";-0.6428;37.6621
"596";5.45505;43.20278
"615";7.07181;43.51367
"617";5.49798;43.19832
"621";7.04072;43.52429
"627";5.3706;43.1764
"635";5.3691;43.17798
"678";3.221094;41.929636
"679";3.6263;39.9809
"680";3.2091;41.8943
"682";6.16754;43.01364
"683";8.76423;41.92187
"692";5.22123;43.3283
"704";6.40795;43.01834
"712";5.54543;43.14597
"722";5.61583;43.15773
"724";-0.68;37.6354
"734";5.10154;43.32808
"736";5.76788;43.08451
"739";5.39315;43.17247
"755";3.2981;42.33
"756";-5.2833;35.9068
"772";3.3013;42.3276
"787";5.21863;43.32892
"790";5.3985;43.1742
"791";5.3936;43.1715
"792";3.2279;41.9202
"793";5.3326;43.2105
"794";3.2323;41.957
"813";5.49275;43.2028
"821";5.61818;43.16183
"828";8.71679;42.06325
"829";3.2041;41.887
"830";3.233;41.957
"831";3.2007;41.886
"842";6.702;43.1875
"843";6.15955;43.0071
"846";5.40277;43.17583
"847";8.72699;42.58538
"848";5.60856;43.16386
"854";5.23293;43.32941
"855";15.121494;37.531903
"856";3.2859;42.3335
"858";5.2292;43.1995
"877";15.02457;44.15193
"878";5.3725;43.177
"879";-0.637;37.6665
"880";3.2087;42.0714
"895";5.62472;43.15597
"902";6.8819;43.42481
"911";3.234722;41.9575
"915";5.39843;43.17328
"926";5.39108;43.18707
"933";9.38947;41.53508
"936";5.39385;43.17157
"940";5.3703;43.1763
"941";3.0362;39.934
"943";2.4715;39.462
"952";3.205;41.8862
"954";5.24183;43.33141
"955";9.41324;41.71057
"966";5.23;43.1979
"972";10.4343;42.735
"973";10.4349;42.7273
"974";10.4124;42.7097
"976";14.9478;44.1448
"977";15.0289;44.1502
"978";10.4342;42.7753
"979";9.41741;41.74817
"985";3.2831;42.2588
"993";3.223801;42.046629
"1001";3.298;42.33
"1002";3.2966;42.3304
"1022";3.2211;41.9188
"1023";3.2982;42.3301
"1024";3.2017;41.8883
"1025";3.2197;42.2316
"1026";1.1593;38.9816
"1031";5.62278;43.155
"1043";9.746259;40.910741
"1046";3.2096;42.0717
"1047";3.2966;42.3303
"1049";3.15694;42.47635
"1062";3.331;42.3194
"1064";5.4012;43.17473
"1097";8.65;42.4
"1098";3.2966;42.3302
"1114";5.12264;43.31435
"1115";3.22855;42.04134
"1117";3.21938;42.05014
"1119";3.22445;42.05032
"1120";3.22644;42.04804
"1121";3.22201;42.05154
"1124";3.2271;42.04229
"1125";3.22579;42.04934
"1128";3.22647;42.04099
"1164";10.876012;42.378248
"1165";3.199661;41.886733
"1167";14.0259;40.7506
"1172";5.67726;43.15839
"1176";6.24128;43.03027
"1177";3.3308;42.3192
"1178";3.2028;41.8874
"1180";5.33773;43.20732
"1185";6.15307;43.00543
"1189";5.62397;43.15644
"1198";5.33685;43.20758
"1207";8.54848;42.24142
"1213";7.06236;43.50751
"1220";9.42041;41.74842
"1245";3.20708;41.8909
"1247";5.29111;43.26194
"1250";5.38487;43.1885
"1253";5.23658;43.33038
"1278";3.199722;41.886667
"1279";3.2146;41.885
"1285";8.72667;42.5763
"1300";5.37339;43.19256
"1302";9.7333;40.9061
"1303";10.9106;42.3812
"1304";10.9173;42.3698
"1305";10.913;42.3744
"1306";10.9221;42.3665
"1308";3.3097;42.2841
"1312";-2.41919;35.18002
"1314";-2.43082;35.18416
"1319";9.7478;40.91472
"1320";18.43648;42.44575
"1321";9.19507;41.25114
"1324";9.20631;41.25113
"1329";5.61504;43.16034
"1338";5.23083;43.32842
"1340";6.59263;43.16772
"1343";3.208186;41.889495
"1344";1.1707;38.8646
"1346";3.1981;41.8874
"1347";3.2021;41.8848
"1360";3.22832;42.0414
"1361";3.22341;42.0495
"1362";3.2218;42.0518
"1363";3.2196;42.0497
"1364";3.2219;42.0515
"1365";3.2333;41.9624
"1366";3.2255;42.0494
"1367";3.2656;42.2389
"1368";3.2348;41.9573
"1369";5.33;43.2126
"1370";3.1879;41.863
"1371";3.2187;42.0493
"1375";5.38572;43.18864
"1382";8.64833;42.47778
"1392";2.46929;41.5316
"1393";3.202215;41.889231
"1394";3.2546;42.3357
"1412";3.19788;41.8795
"1413";3.1871;42.0999
"1427";7.07193;43.51404
"1444";3.18779;41.8617
"1445";3.21201;41.9166
"1446";3.2552;42.3357
"1447";3.2267;42.0411
"1448";5.23477;43.32983
"1449";5.23531;43.32923
"1457";5.23599;43.32936
"1461";6.54373;43.17295
"1466";5.377683;43.18914
"1480";5.3488;43.22885
"1497";1.188;38.8625
"1498";1.1614;38.9827
"1500";1.1686;38.985
"1501";1.1656;38.9698
"1503";1.1651;38.9713
"1521";9.6358;44.1331
"1522";10.5469;42.8555
"1523";9.8506;44.0236
"1524";9.8511;44.0228
"1525";10.3338;43.47
"1527";14.8212;44.9703
"1529";5.62079;43.15911
"1536";3.2277;42.0415
"1537";3.2267;42.0418
"1539";3.2268;42.0419
"1542";3.2268;42.042
"1543";3.2265;42.0418
"1545";3.2244;42.0448
"1547";5.3865;43.17265
"1551";7.49177;43.75206
"1555";3.232705;41.961502
"1558";3.2423;42.2391
"1568";3.230727;41.960422
"1569";15.469765;42.060966
"1570";3.1654;42.4665
"1572";3.1988;41.8894
"1583";8.71319;42.03948
"1592";11.1096;42.2628
"1593";3.1982;41.8896
"1609";6.8933;43.42185
"1631";3.232283;41.961
"1635";15.523213;42.138805
"1638";1.1652;38.9693
"1642";9.38861;41.50964
"1649";5.23065;43.19975
"1676";3.232029;41.960195
"1677";5.38021;43.17639
"1679";18.5014;40.1674
"1680";2.8602;41.6716
