"Lon";"Lat"
"1";-16.457939;19.739766
"2";-16.225236;20.228214
"3";-16.90472222;14.27166667
"4";-16.83416667;14.15222222
"5";-23.51027778;14.90888889
"6";-13.05448;7.641079
"7";-16.811234;13.384509
"8";6.68026;0.414204
"9";6.730666;0.395462
"10";6.7465;0.246614
"11";7.454281;1.632689
"12";6.86166667;0.57277778
"13";9.349402;0.892721
"14";13.108091;-8.95653
"58";-16.445;19.48
"59";-16.841;14.156
"60";-23.508;14.912
"61";-16.382;11.281
"62";-16.405;11.312
"63";7.455;1.633
"64";7.456;1.635
"65";6.656;0.414
"66";6.747;0.255
"67";9.307;0.594
"68";13.064;-9.006
"1803";-16.42793333;19.5063
