gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
2538303830;52422715-c1db-40a0-ba16-b84a295d248a;d44b6482-7f83-46d0-aa8b-27218b8e9f24;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Mussel Farm, off Porthpean;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.30881;-4.737671;100.0;;;;;;2018-05-13T00:00:00Z;13;5;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A9;;;;;CC_BY_4_0;;Andy Grant, Tom Daguerre;;;2019-12-30T22:43:50.524Z;;
2538302965;52422715-c1db-40a0-ba16-b84a295d248a;e951b6ed-de74-4be4-99ca-1b1426f4ebb5;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Hanjague South Wall, East of St Martins;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;49.95639;-6.241571;100.0;;;;;;2018-08-01T00:00:00Z;1;8;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A1;;;;;CC_BY_4_0;;Chris Wood;;;2019-12-30T22:43:50.055Z;;
2538300710;52422715-c1db-40a0-ba16-b84a295d248a;cb8bd432-a72f-42db-b972-9589afb77238;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Western Ebb Rocks;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.30257;-4.081254;100.0;;;;;;2018-07-13T00:00:00Z;13;7;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRMCS01500000095;;;;;CC_BY_4_0;;Chris Wood, Mark Harrison;;;2019-12-30T22:43:49.748Z;;
2538296609;52422715-c1db-40a0-ba16-b84a295d248a;610c00cf-8b18-4f94-b44b-7abc7f2fcbed;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Flat Ledge, St Martins;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;49.96806;-6.252239;100.0;;;;;;2018-08-01T00:00:00Z;1;8;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A1;;;;;CC_BY_4_0;;Chris Wood;;;2019-12-30T22:43:48.415Z;;
2538291052;52422715-c1db-40a0-ba16-b84a295d248a;40edcf25-1953-4aec-9a48-d5c564b62dce;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Bovisand Harbour;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.33676;-4.127259;100.0;;;;;;2018-05-06T00:00:00Z;6;5;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRMCS01500000096;;;;;CC_BY_4_0;;Nina Fryer;;;2019-12-30T22:43:48.009Z;;
2538290699;52422715-c1db-40a0-ba16-b84a295d248a;1debd91a-2f64-4a0c-9a51-f167b0b3dc6b;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Bovisand Harbour;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.33697;-4.127325;100.0;;;;;;2018-05-06T00:00:00Z;6;5;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRMCS01500000096;;;;;CC_BY_4_0;;Nina Fryer, Tim Fryer;;;2019-12-30T22:43:47.132Z;;
2538266555;52422715-c1db-40a0-ba16-b84a295d248a;de86b488-e3fe-4736-99dd-d2250d03f88c;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;The Whelps;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.17258;-4.907523;100.0;;;;;;2018-08-05T00:00:00Z;5;8;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A5;;;;;CC_BY_4_0;;Janet Dallimore;;;2019-12-30T22:43:45.275Z;;
2538263264;52422715-c1db-40a0-ba16-b84a295d248a;f39109da-f5a3-4953-89cf-6713b719b3be;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Gull Rock;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;50.19852;-4.901633;100.0;;;;;;2018-08-12T00:00:00Z;12;8;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A5;;;;;CC_BY_4_0;;Janet Dallimore;;;2019-12-30T22:43:45.559Z;;
2538262816;52422715-c1db-40a0-ba16-b84a295d248a;c7561596-407f-445f-9a90-ffb537b76faa;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Hathor South Pinnacle, SW St Agnes;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;49.88055;-6.350087;100.0;;;;;;2018-06-21T00:00:00Z;21;6;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A1;;;;;CC_BY_4_0;;Chris Webb, Lin Baldock;;;2019-12-30T22:43:45.129Z;;
2538221337;52422715-c1db-40a0-ba16-b84a295d248a;6b164361-3149-416f-90a5-9451d3301c66;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria ochroleuca;;SPECIES;Laminaria ochroleuca Bachelot de la Pylaie, 1824;Laminaria ochroleuca;;GB;Sponge Hill, NE St Martins;England;present;;5d662340-07fa-41b7-a3fc-e2e63ca50800;49.9694;-6.260408;100.0;;;;;;2018-07-30T00:00:00Z;30;7;2018;5422378;5422378;HUMAN_OBSERVATION;Seasearch;MRLRC003000000A1;;;;;CC_BY_4_0;;Chris Wood;;;2019-12-30T22:43:43.468Z;;
