"Lon";"Lat"
"2";-8.74136;41.31052
"3";-8.87591;41.74292
"4";-8.77433;41.38542
"5";-8.729;41.27309
"6";-8.76045;41.3622
"7";-8.72818;41.2651
"8";-8.875;41.625
"9";-8.75073;41.34108
"10";-8.72829;41.26615
"13";-9.2881;43.04423
"14";-8.875;41.7916666666667
"15";-5.502159;50.124574
"16";-2.179187;49.73135
"17";-5.050117;50.14557
"18";-9.123447;38.431317
"19";-10.07576;54.25596
"21";-5.06445;50.06513
"22";-2.133714;49.16971
"23";-2.210873;49.17243
"24";-1.911649;49.28256
"25";-4.265368;50.17951
"26";-4.264712;50.18341
"27";-5.050705;50.14558
"28";-3.8595;50.24575
"29";-5.050698;50.14569
"32";-2.293468;49.23679
"33";-2.242572;49.17606
"35";-2.18485;49.72801
"36";-2.24356;49.17612
"37";-4.983606;50.14207
"38";-5.050078;50.14496
"39";-4.9006;50.19958
"40";-8.877663;41.744133
"41";-2.171509;49.71451
"42";-8.70742;41.19231
"43";-8.87014;41.78072
"44";-8.85472;41.69983
"45";-8.77886;41.48267
"46";-8.85507;41.69959
"47";-8.73419;41.29241
"48";-8.72914;41.27956
"49";-8.87168;41.78439
"50";-8.87205;41.8194
"51";-2.199453;49.24993
"52";-2.180602;49.16769
"53";-5.050424;50.14534
"54";-5.050917;50.14583
"55";-5.050388;50.14544
"56";-5.051398;50.14569
"57";-5.050898;50.14553
"58";-5.049949;50.14558
"59";-5.050894;50.1457
"60";-5.050402;50.14521
"61";-2.520028;49.47366
"62";-2.07995;49.24028
"63";-2.079867;49.23979
"64";-5.074781;50.13831
"65";-4.133838;50.33772
"66";-4.559203;50.30109
"69";-2.195894;49.17173
"70";-2.545708;49.42115
"71";-2.281975;49.73786
"72";-2.548371;49.4225
"73";-2.416449;49.46934
"74";-2.159828;49.72939
"76";-2.415152;49.46937
"77";-2.482667;49.44007
"78";-2.524995;49.43789
"79";-4.267379;50.17937
"80";-2.077871;49.23758
"81";-2.079166;49.23993
"82";-5.04315;50.04551
"83";-2.229121;49.17371
"84";-2.168852;49.71651
"85";-4.268032;50.17924
"86";-4.26587;50.18418
"87";-5.063956;50.06506
"88";-5.063882;50.06587
"89";-8.940715;37.137247
"90";-2.175538;49.16745
"91";-2.1786;49.73027
"92";-5.049448;50.14024
"93";-2.078768;49.24006
"94";-2.018316;49.20732
"95";-4.14552;50.36409
"96";-2.243696;49.17871
"97";-2.164192;49.20054
"98";-2.11754;49.2513
"99";-2.247394;49.17991
"100";-2.058117;49.26697
"103";-4.160132;50.360875
"104";-2.020034;49.21029
"105";-4.127325;50.33697
"106";-4.737671;50.30881
"107";-4.127259;50.33676
"108";-2.048241;49.24186
"109";-2.539855;49.41807
"110";-2.555074;49.42015
"111";-2.574574;49.41666
"112";-2.540068;49.41732
"114";-2.617579;49.41432
"116";-2.236642;49.17572
"118";-6.242242;49.95657
"152";-4.081254;50.30257
"153";-6.260408;49.9694
"156";-2.181407;49.00503
"157";-4.907523;50.17258
"158";-4.901633;50.19852
"159";-6.252239;49.96806
"160";-6.241571;49.95639
"198";-4.62134;48.25188
"199";-4.61082;48.01631
"200";-4.575;48.29825
"201";-4.60709;48.24245
"202";-5.675069;50.03309
"203";-10.08;54.259998
"246";-3.982053;48.728667
"249";-3.860005;50.262335
"252";-5.064957;50.06607
"253";-4.127076;50.33706
"258";-2.193067;49.16984
"269";-2.145749;49.14228
"270";-2.015275;49.20855
"271";-2.193202;49.16935
"272";-2.218693;49.17236
"273";-6.311407;49.9794
"274";-6.256834;49.96917
"276";-6.305658;49.96481
"277";-6.245235;49.96648
"278";-6.252412;49.93556
"280";-28.05;39.1
"319";-2.236856;49.1774
"320";-2.137764;49.15566
"321";-5.053807;50.05348
"322";-5.027836;50.13263
"323";-4.943269;50.13949
"324";-1.948808;49.01945
"325";-4.900571;50.19794
"326";-4.40106;47.80644
"329";-4.763467;50.24538
"330";-4.141337;50.32977
"333";-2.078009;49.23782
"335";-3.98035;50.22392
"337";-2.373921;49.72274
"338";-2.239725;49.73768
"339";-2.482723;49.44016
"341";-2.228103;49.68934
"343";-2.357055;49.40115
"344";-4.110898;50.30659
"349";-2.181221;49.16816
"350";-4.110943;50.3054
"352";-4.06064;50.29162
"354";-2.201618;49.24828
"355";-2.079455;49.23996
